[09-Feb-2024 15:34:49 Asia/Calcutta] PHP Fatal error:  Uncaught Error: Undefined constant "LOGIN_UserId" in D:\xampp\htdocs\wealth-choice\include\app\Header.php:15
Stack trace:
#0 D:\xampp\htdocs\wealth-choice\app\leads\add.php(55): include()
#1 {main}
  thrown in D:\xampp\htdocs\wealth-choice\include\app\Header.php on line 15
[09-Feb-2024 16:02:50 Asia/Calcutta] PHP Warning:  Undefined array key "ResidentialPurchaseDate" in D:\xampp\htdocs\wealth-choice\handler\ModuleController\LeadsController.php on line 357
[09-Feb-2024 16:03:16 Asia/Calcutta] PHP Warning:  Undefined array key "FlatBHK" in D:\xampp\htdocs\wealth-choice\handler\ModuleController\LeadsController.php on line 352
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataPersonStatus" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 179
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataPersonStatus" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 185
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:11:48 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:12:08 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:12:08 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:12:08 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:12:08 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataPersonStatus" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 179
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataPersonStatus" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 185
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:12:16 Asia/Calcutta] PHP Warning:  Undefined array key "DataManagedBy" in D:\xampp\htdocs\wealth-choice\app\data\data_lead.php on line 202
[09-Feb-2024 16:12:48 Asia/Calcutta] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in D:\xampp\htdocs\wealth-choice\auth\logout\index.php on line 4
[09-Feb-2024 16:13:32 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:13:32 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:13:32 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:13:32 Asia/Calcutta] PHP Warning:  Undefined variable $PersonStatus in D:\xampp\htdocs\wealth-choice\handler\ModuleController\DataController.php on line 250
[09-Feb-2024 16:25:20 Asia/Calcutta] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in D:\xampp\htdocs\wealth-choice\auth\logout\index.php on line 4
